Transaction Date,NAICS,Description,EBITDA,Revenue,SDE,Operating Profit,Assets,Operating Margin,SDE Margin,EBITDA Margin,MVIC Price,Valuation Multiple,Fixed Asset,Total Asset,PP&E %,Company_Age_Yrs,Employee_Count
8/12/2024,488510; 541614,International Logistics Firm,2359580,12307498,2539580,2336786,659930,18.99%,20.63%,19.17%,18000000,7.63x,125227,659930,18.98%,39,92
8/31/2024,484110,Short Haul Trucking,3281192,38593755,3881192,762390,14247772,1.98%,10.06%,8.50%,17000000,5.18x,9098950,14247772,63.88%,40,220
9/29/2023,485510,Charter Bus Business,1969571,4254624,2280647,1923458,2041298,45.21%,53.60%,46.29%,3410951,1.73x,239049,2041298,11.71%,33,4
9/19/2023,488510,Freight Brokerage and Trucking Company,340585,4261000,430585,261585,1481000,6.14%,10.11%,7.99%,1270000,3.73x,293000,1481000,19.78%,13,6
1/3/2023,485510,Chartered Bus Company,507676,1741684,557676,392387,1228788,22.53%,32.02%,29.15%,760000,1.50x,584263,1228788,47.54%,30,13
6/17/2022,488510,Freight Forwarding Company,1106919,8276633,1220819,1106919,3200000,13.37%,14.75%,13.37%,3200000,2.89x,92350,3200000,2.89%,20,13
12/4/2019,488991; 561431,Packing and Shipping,420782,1024609,500782,383720,47682,37.45%,48.88%,41.07%,1500000,3.56x,20000,47682,41.96%,,
5/24/2019,484110,"Trucking, Warehouse, Freight Brokerage",1343303,13264000,1543303,1300000,1355000,9.80%,11.64%,10.13%,4800000,3.57x,30000,1355000,2.21%,30,22
8/10/2018,484110,Trucking Service,8727000,51500000,9077000,5595000,15770000,10.86%,17.63%,16.95%,65000000,7.45x,3500000,15770000,22.19%,21,95
12/20/2017,488510,Customs Broker,186850,1292501,373700,186850,510423,14.46%,28.91%,14.46%,700000,3.75x,,510423,,20,5
10/28/2016,484110,"Freight, Logistics and Storage Services",700050,4941379,700050,559545,969854,11.32%,14.17%,14.17%,2850000,4.07x,541744,969854,55.87%,24,50
10/24/2016,484121,"Transportation of Wood Chips, Sawdust and Bark",2031892,11236928,2326244,937475,8497057,8.34%,20.70%,18.08%,9820000,4.83x,5686042,8497057,66.90%,19,39
6/15/2016,488410,Regional Towing Services,200397,1018759,293397,150380,461382,14.76%,28.80%,19.67%,944000,4.71x,415402,461382,90.05%,6,10
4/27/2016,484210,Moving and Storage Services,565758,2122336,565758,389197,971272,18.34%,26.66%,26.66%,2225000,3.93x,435396,971272,44.83%,11,29
