Transaction Date,NAICS,Description,EBITDA,Revenue,SDE,Operating Profit,Assets,Operating Margin,SDE Margin,EBITDA Margin,MVIC Price,Valuation Multiple,Fixed Asset,Total Asset,PP&E %,Company_Age_Yrs,Employee_Count
06/30/2025,238220,"Heating, Ventilation, and Air Conditioning (HVAC) Company",449404,3436991,534404,388398,661219,11.30%,15.55%,13.08%,600000,1.34x,N/A,661219,N/A,15,19
06/10/2025,238220,"Industrial Mechanical and Heating, Ventilation, and Air Conditioning (HVAC) Contractor",4224491,32293854,4423907,4052607,13938705,12.55%,13.70%,13.08%,12500000,2.96x,521476,13938705,N/A,21,90
05/30/2025,238220,"Heating, Ventilation, and Air Conditioning (HVAC) Company",611403,3595119,701403,441403,1765646,12.28%,19.51%,17.01%,2800000,4.58x,803775,1765646,45.53%,13,15
05/01/2025,238220,"Residential and Commercial Heating, Ventilation, and Air Conditioning (HVAC) Company (70% residential and 30% commercial)",120000,2000000,270000,100000,743000,5%,13.50%,6%,450000,3.75x,35000,743000,4.71%,N/A,N/A
03/01/2025,238220,"Commercial Heating, Ventilation, and Air Conditioning (HVAC) Installation, Service and Repair Business",159319,5920771,229319,81010,2303142,1.37%,3.87%,2.69%,1000000,6.28x,144895,2303142,6.29%,30,20
01/10/2025,423730,"Export Distributor of Heating, Ventilation, and Air Conditioning (HVAC), Plumbing and Mechanical Supplies",142982,1270448,279564,91666,N/A,7.22%,22.01%,11.25%,649000,4.54x,2500,N/A,N/A,32,N/A
12/16/2024,238220,HVAC and Plumbing Company,453854,1623830,490231,90285,N/A,5.56%,30.19%,27.95%,1000000,2.20x,150000,N/A,N/A,45,11
12/13/2024,238220,HVAC Company,214222,678042,296822,132865,350000,19.60%,43.78%,31.59%,350000,1.63x,30000,350000,8.57%,18,4
12/02/2024,238210,"Heating, Ventilation, and Air Conditioning (HVAC) and Mechanical Contractor (50% Residential, 50% Commercial)",449404,3436000,534404,388000,852698,11.29%,15.55%,13.08%,650000,1.45x,191479,852698,22.46%,13,19
11/22/2024,238220,Commercial and Residential HVAC and Refrigeration Company,719105,6706120,912943,608305,N/A,9.07%,13.61%,10.72%,2800000,3.89x,248000,N/A,N/A,21,23
11/19/2024,238220,Residential and Commercial HVAC Company,77596,1024827,137596,68832,N/A,6.72%,13.43%,7.57%,350000,4.51x,N/A,N/A,N/A,8,7
11/18/2024,541330,"Mechanical Engineering Company with Heating, Ventilation, and Air Conditioning (HVAC) Focus",254214,1088967,433906,254214,1048303,23.34%,39.85%,23.34%,962734,3.79x,51000,1048303,4.86%,48,5
11/12/2024,238220,Residential HVAC and Refrigeration Company,618847,4163091,793539,612362,4000000,14.71%,19.06%,14.87%,2800000,6.46x,248000,4000000,6.20%,23,21
10/31/2024,238220,HVAC Contractor,49631,423295,139855,31143,N/A,7.36%,33.04%,11.72%,180000,3.63x,N/A,N/A,N/A,40,N/A
10/10/2024,238310,"HVAC, Mechanical, and Plumbing Pipe Insulation Company",124810,2380544,271396,80775,1000000,3.39%,11.40%,5.24%,1000000,8.01x,175000,1000000,17.50%,50,16
09/30/2024,238220,"Heating, Ventilation, and Air Conditioning (HVAC)",741275,13126729,891275,741275,2725028,5.65%,6.79%,5.65%,12000000,16.19x,500000,2725028,18.36%,35,N/A
09/24/2024,238220,"Heating, Ventilation, and Air Conditioning (HVAC) Contractor (75% Residential and 25% Commercial)",185265,2159739,255265,149638,1100000,6.93%,11.82%,8.58%,700000,3.78x,330057,1100000,30.00%,30,13
09/03/2024,238220,"Design, Installation and Servicing of Heating, Ventilation, and Air Conditioning (HVAC) Systems for Commercial Projects",4871277,54558022,5016577,4674053,27429850,8.57%,9.19%,8.93%,15000000,3.08x,2838416,27429850,10.35%,22,95
09/01/2024,238220,"Commercial HVAC, Electrical, Plumbing Business",303342,1636611,447111,303342,1600000,18.53%,27.32%,18.53%,1600000,5.27x,225000,1600000,14.06%,40,12
08/30/2024,238220,"Specialty Heating, Ventilation, and Air Conditioning (HVAC) and Refrigeration Contractor",148517,730981,226517,129743,N/A,17.75%,30.99%,20.32%,249000,1.68x,N/A,N/A,N/A,10,2
08/13/2024,238220,Commercial HVACR Business,36820,842834,61519,20815,236338,2.47%,7.30%,4.37%,236338,6.42x,61288,236338,25.94%,N/A,6
08/10/2024,238220,"Residential and Commercial Plumbing, Heating, Ventilation, and Air Conditioning (HVAC) Contractor",1822645,5318479,1996494,1718235,2133235,32.31%,37.54%,34.27%,5000000,2.74x,546881,2133235,25.64%,27,19
07/30/2024,238220,"Heating, Ventilation, and Air Conditioning (HVAC) Contractor",250705,1055568,320705,250705,159987,23.75%,30.38%,23.75%,975000,3.89x,19990,159987,12.49%,20,4
