Transaction Date,NAICS,Description,EBITDA,Revenue,SDE,Operating Profit,Assets,Operating Margin,SDE Margin,EBITDA Margin,MVIC,Valuation Multiple,Fixed Assets,Total Asset,PP&E %,Company_Age_Yrs,Employee Count
45715,221112,"Operates an Integrated Energy Terminal Specializing in Power Generation, Natural Gas Liquids, and Frac Sand Trans-Loading and Storage",55665000,110200000,-,8466000,936181000,7.68,-,50.51,1600000000,28.74337555,1513618000,936181000,1.616800597,8,22
45618,221114,"Owns, Operates, and Maintains Net-Metered Residential Solar Systems, Enabling Homeowners to Receive Distributed Energy Through a No-Upfront-Cost Model in Exchange for Monthly Payments",25828000,31924000,-,18968000,70441000,59.42,-,80.9,132500000,5.130091374,70441000,70441000,1,,
45260,221210,Engaged in the Sale and Distribution of Natural Gas,41766000,118491000,-,22922000,619319000,19.34,-,35.25,923445000,22.10996983,501863000,619319000,0.8103465258,77,
45008,221114,Offers Residential Solar Contracts that Allow Customers to Purchase Electricity Generated by Rooftop Solar Systems,9172380,10125081,-,9172380,185023198,90.59,-,90.59,148000000,16.13539779,-,185023198,-,6,
44972,221114,Solar Energy Production,23530000,36672000,-,639000,494736000,1.74,-,64.16,308409000,13.10705482,451336000,494736000,0.9122764464,,
44876,221114,"Holding Company for Entities that Acquire, Own, Develop, Operate, and Sell Electricity Produced by Various Photovoltaic Power Generation Projects",20760000,25075000,-,10984000,209565000,43.8,-,82.79,215695000,10.38993256,192901000,209565000,0.9204829051,113,1100
44855,221112,Coal-Fired Power Plant that Generates Electricity by Converting Coal into Electrical Energy,64370000,267860000,-,32235000,614012000,12.03,-,24.03,178200000,2.768370359,557419000,614012000,0.9078307916,40,185
44058,221310,Water Works Distributor,483371,21434102,1723818,2046850,5201794,9.55,8.04,2.26,12000000,24.82565152,264387,5201794,0.05082611884,40,25
43906,221210,Holding Company of Natural Gas Distribution Businesses,284613000,913973000,-,196178000,3179018000,21.46,-,31.14,4247558000,14.92397747,2175211000,3179018000,0.6842399131,11,
43822,221310,Water System Service Business,125270,555387,178960,116459,-,20.97,32.22,22.56,295000,2.354913387,70000,-,-,,
43500,221112,Power Generating Facilities With Natural Gas and Coal as the Primary Fuel,176390000,685548000,-,89515000,1262618000,13.06,-,25.73,1476365670,8.369894382,1124486250,1262618000,0.8905989381,19,
43454,221115,Wind and Solar Energy Generating Facilities,84000000,120000000,-,25000000,2297000000,20.83,-,70,703071128,8.369894381,535500000,2297000000,0.2331301698,,
43441,221310,Water Transfer Services Through Mobile Piping Systems,715667,1938851,-,692120,152251,35.7,-,36.91,5990057,8.369894099,4562377.125,152251,29.96615539,33,
43405,221310,Provides Wastewater Treatment and Water Reuse Solutions,9571629,19885854,-,5305353,80750130,26.68,-,48.13,80113524,8.369894404,61019134.88,80750130,0.7556537046,45,
43291,221210,"Retail Marketing, Sale and Distribution of Propane and Distillates",82057000,396985000,-,45112000,517612000,11.36,-,20.67,686808423,8.369894378,523113375,517612000,1.010628376,10,
43221,221310,Water Filtration and Purification Business,130000,400000,128168,130000,-,32.5,32.04,32.5,1088086,8.369892308,828750,-,-,,
43217,221310,"Water Purification, Water Filtration and Pump/Irrigation Business and Hardware Store",132438,335112,-,132438,-,39.52,-,39.52,1108492,8.369893837,844292.25,-,-,,
42921,221122,Supplier of Electricity,20306000,169451000,-,16521000,-,9.75,-,11.98,169959075,8.369894366,129450750,-,-,8,
42577,221320,Specializes in the Operation and Maintenance of Water and Wastewater Treatment Plants,1799109,26966860,-,1480855,5192909,5.49,-,6.67,15058352,8.369894209,11469319.88,5192909,2.208650273,,
42447,221310,Water Treatment Company,340258,870018,-,340258,-,39.11,-,39.11,2847924,8.369895785,2169144.75,-,-,3,8
